best_x,best_y,best_z,avg_z,max_z,iters,first_min_iters,n_particle,v_max,inertia_w,accel_c1,accel_c2
-0.089842,0.712656,-1.031628,-1.031628,-1.031628,166,31,25,2.000000,0.700000,1.500000,1.500000
3.231103,-4.738820,2104.198515,2104.198515,2104.198515,20,21,1,2.000000,0.700000,1.500000,1.500000
-0.628429,-0.864943,1.062521,1.062521,1.062521,140,141,2,2.000000,0.700000,1.500000,1.500000
0.095595,-0.706043,-1.031107,-1.031107,-1.031107,176,118,3,2.000000,0.700000,1.500000,1.500000
-0.089717,0.712632,-1.031628,-1.031628,-1.031628,152,32,4,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,173,23,5,2.000000,0.700000,1.500000,1.500000
-0.089841,0.712656,-1.031628,-1.031628,-1.031628,132,41,6,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,165,37,7,2.000000,0.700000,1.500000,1.500000
-0.089842,0.712656,-1.031628,-1.031628,-1.031628,127,36,8,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,139,24,9,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,117,28,10,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,422,22,11,2.000000,0.700000,1.500000,1.500000
-0.089842,0.712656,-1.031628,-1.031628,-1.031628,125,33,12,2.000000,0.700000,1.500000,1.500000
-0.089842,0.712656,-1.031628,-1.031628,-1.031628,125,24,13,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,128,25,14,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,131,23,15,2.000000,0.700000,1.500000,1.500000
-0.089842,0.712656,-1.031628,-1.031628,-1.031628,856,28,16,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,148,23,17,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,155,22,18,2.000000,0.700000,1.500000,1.500000
-0.089842,0.712656,-1.031628,-1.031628,-1.031628,156,26,19,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,183,36,20,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,429,22,21,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,271,28,22,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,149,13,23,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,170,27,24,2.000000,0.700000,1.500000,1.500000
-0.089842,0.712656,-1.031628,-1.031628,-1.031628,166,31,25,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,135,22,26,2.000000,0.700000,1.500000,1.500000
-0.089842,0.712656,-1.031628,-1.031628,-1.031628,206,31,27,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,138,26,28,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,176,14,29,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,216,13,30,2.000000,0.700000,1.500000,1.500000
-0.089842,0.712656,-1.031628,-1.031628,-1.031628,193,6,31,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,146,19,32,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,149,13,33,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,154,23,34,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,143,13,35,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,124,25,36,2.000000,0.700000,1.500000,1.500000
0.089842,-0.712656,-1.031628,-1.031628,-1.031628,151,21,37,2.000000,0.700000,1.500000,1.500000
